iter	MultiClass
0	0.9973692824
1	0.9128083331
2	0.8409504189
3	0.778845218
4	0.7241309822
5	0.6761932423
6	0.633538292
7	0.5953984137
8	0.5610620342
9	0.5300528891
10	0.5019367013
11	0.4784653516
12	0.4549229808
13	0.4333884369
14	0.4155755757
15	0.3972690556
16	0.3804054361
17	0.3648575019
18	0.3502523623
19	0.3369926849
20	0.3260895953
21	0.3146107751
22	0.303972335
23	0.2941080858
24	0.2857941142
25	0.277021817
26	0.2700331983
27	0.2625235727
28	0.2551743235
29	0.2486208074
30	0.2434319776
31	0.238418707
32	0.2341103297
33	0.228766215
34	0.2246376851
35	0.2209284483
36	0.2173444342
37	0.2136569667
38	0.2102829163
39	0.2070292784
40	0.2048955824
41	0.2015519784
42	0.1982475417
43	0.1957456986
44	0.1938159578
45	0.1916802553
46	0.1896505788
47	0.1881389212
48	0.1856861854
49	0.1843687399
50	0.1825131717
51	0.1804995128
52	0.1794012085
53	0.1780156299
54	0.1767097895
55	0.1754870803
56	0.1744505057
57	0.1731243263
58	0.1723201282
59	0.1715902191
60	0.1711735891
61	0.1706789387
62	0.1701556455
63	0.1696926092
64	0.1691418779
65	0.1681299901
66	0.1677404411
67	0.1675229759
68	0.1665594033
69	0.1659068826
70	0.1657051592
71	0.1649093505
72	0.1646580919
73	0.164426329
74	0.1638445734
75	0.1632279465
76	0.1629828728
77	0.1626990957
78	0.1618938808
79	0.1616144315
80	0.1614406459
81	0.1612494658
82	0.1608648224
83	0.160683894
84	0.1602749201
85	0.1599272628
86	0.1594842767
87	0.1593721114
88	0.1592285481
89	0.1588016295
90	0.1584661642
91	0.1582975699
92	0.1581461585
93	0.1580459747
94	0.1578556057
95	0.157471722
96	0.157394261
97	0.157221772
98	0.1569014612
99	0.1567388792
100	0.1562298111
101	0.1560873116
102	0.1556423175
103	0.1555580988
104	0.155438244
105	0.1552944196
106	0.1552779431
107	0.1551429692
108	0.1550148444
109	0.1549023854
110	0.1546939493
111	0.1546328365
112	0.1544066097
113	0.1542787638
114	0.1540321973
115	0.1539447716
116	0.1538635147
117	0.1537845134
118	0.1535791887
119	0.1534807507
120	0.1533754038
121	0.1532958425
122	0.1532448041
123	0.153195028
124	0.1529927597
125	0.1528839417
126	0.1525739189
127	0.1524848354
128	0.152448479
129	0.1523814452
130	0.1523020194
131	0.1520708224
132	0.1518392487
133	0.1517705435
134	0.1516785707
135	0.1516649796
136	0.1516245797
137	0.1515510153
138	0.1514621086
139	0.1513922833
140	0.1513277896
141	0.151298234
142	0.1512230958
143	0.1511012962
