iter	Passed	Remaining
0	29	72560
1	43	54636
2	55	46256
3	90	56765
4	127	63590
5	183	76306
6	201	71768
7	207	64761
8	218	60349
9	228	56843
10	237	53838
11	245	50841
12	252	48358
13	262	46633
14	269	44606
15	276	42897
16	284	41594
17	295	40751
18	302	39511
19	310	38460
20	317	37528
21	324	36556
22	331	35649
23	338	34920
24	345	34231
25	352	33531
26	361	33076
27	370	32689
28	385	32815
29	398	32840
30	407	32469
31	415	32041
32	423	31646
33	431	31282
34	438	30893
35	447	30600
36	454	30254
37	463	30013
38	471	29758
39	480	29524
40	487	29213
41	495	28992
42	502	28729
43	510	28513
44	518	28261
45	526	28075
46	533	27859
47	541	27684
48	549	27474
49	558	27378
50	565	27170
51	573	27010
52	580	26802
53	588	26664
54	595	26453
55	601	26270
56	608	26083
57	615	25902
58	622	25751
59	629	25599
60	636	25437
61	643	25294
62	650	25156
63	657	25009
64	663	24854
65	669	24703
66	676	24566
67	683	24428
68	690	24310
69	696	24194
70	703	24062
71	710	23963
72	717	23844
73	723	23729
74	730	23607
75	736	23489
76	742	23375
77	749	23264
78	755	23158
79	762	23058
80	768	22951
81	775	22854
82	781	22753
83	787	22654
84	794	22561
85	800	22472
86	806	22372
87	812	22279
88	820	22215
89	826	22137
90	833	22060
91	839	21971
92	845	21894
93	856	21916
94	904	22900
95	923	23122
96	939	23278
97	951	23323
98	966	23442
99	978	23478
100	990	23538
101	1003	23581
102	1015	23628
103	1058	24375
104	1108	25289
105	1217	27507
106	1229	27505
107	1259	27893
108	1275	27978
109	1282	27867
110	1289	27747
111	1296	27635
112	1302	27513
113	1308	27395
114	1315	27281
115	1322	27171
116	1329	27073
117	1336	26981
118	1343	26886
119	1350	26787
120	1359	26732
121	1366	26640
122	1373	26548
123	1380	26452
124	1386	26350
125	1393	26253
126	1399	26157
127	1408	26095
128	1415	26018
129	1423	25957
130	1431	25879
131	1443	25890
132	1451	25827
133	1469	25943
134	1535	26907
135	1676	29135
136	1715	29594
137	1732	29655
138	1748	29693
139	1756	29608
140	1763	29510
141	1770	29408
142	1777	29297
143	1784	29200
144	1791	29099
145	1798	28999
146	1805	28897
147	1811	28796
148	1819	28703
149	1825	28603
150	1832	28500
151	1838	28401
152	1845	28312
153	1853	28232
154	1859	28133
155	1866	28041
156	1873	27952
157	1891	28037
158	1900	27979
159	1907	27891
160	1913	27800
161	1920	27717
162	1927	27628
163	1933	27544
164	1940	27459
165	1947	27376
166	1953	27293
167	1960	27209
168	1966	27126
169	1973	27043
170	1979	26962
171	1985	26880
172	1992	26799
173	2008	26853
174	2020	26845
175	2027	26768
176	2034	26698
177	2040	26617
178	2047	26542
179	2053	26465
180	2059	26388
181	2066	26317
182	2072	26239
183	2078	26166
184	2085	26092
185	2091	26024
186	2100	25983
187	2113	25988
188	2126	25998
189	2138	26000
190	2153	26030
191	2165	26032
192	2178	26036
193	2191	26048
194	2198	25991
195	2205	25923
196	2215	25902
197	2222	25833
198	2228	25772
199	2235	25707
200	2242	25648
201	2248	25583
202	2255	25517
203	2263	25479
204	2270	25417
205	2281	25401
206	2287	25343
207	2297	25315
208	2304	25263
209	2313	25226
210	2319	25166
211	2329	25145
212	2336	25090
213	2346	25065
214	2354	25025
215	2362	24983
216	2369	24927
217	2378	24899
218	2385	24843
219	2394	24820
220	2401	24765
221	2412	24751
222	2420	24710
223	2428	24675
224	2436	24633
225	2444	24593
226	2452	24560
227	2460	24517
228	2468	24475
229	2476	24446
230	2484	24399
231	2493	24380
232	2505	24378
233	2515	24355
234	2524	24336
235	2531	24285
236	2538	24234
237	2544	24186
238	2551	24137
239	2557	24085
240	2563	24033
241	2570	23984
242	2577	23935
243	2583	23886
244	2589	23837
245	2596	23787
246	2602	23741
247	2609	23695
248	2615	23647
249	2622	23601
250	2628	23554
251	2635	23506
252	2641	23460
253	2647	23411
254	2654	23370
255	2660	23323
256	2667	23284
257	2674	23241
258	2680	23195
259	2686	23147
260	2693	23103
261	2700	23063
262	2706	23019
263	2713	22978
264	2719	22932
265	2725	22893
266	2734	22867
267	2740	22825
268	2747	22787
269	2753	22745
270	2760	22705
271	2766	22664
272	2773	22625
273	2780	22586
274	2786	22546
275	2793	22507
276	2799	22468
277	2806	22428
278	2812	22389
279	2819	22352
280	2825	22314
281	2831	22273
282	2838	22239
283	2845	22202
284	2851	22163
285	2859	22133
286	2884	22241
287	2892	22219
288	2899	22183
289	2906	22153
290	2913	22116
291	2919	22078
292	2926	22041
293	2932	22005
294	2939	21968
295	2945	21930
296	2951	21894
297	2958	21857
298	2964	21821
299	2970	21786
300	2977	21750
301	2983	21712
302	2989	21676
303	2995	21641
304	3002	21607
305	3008	21572
306	3015	21538
307	3021	21503
308	3027	21467
309	3033	21432
310	3040	21397
311	3046	21362
312	3052	21327
313	3058	21294
314	3065	21261
315	3071	21229
316	3077	21194
317	3084	21166
318	3091	21134
319	3097	21100
320	3103	21068
321	3110	21037
322	3116	21003
323	3122	20972
324	3129	20940
325	3135	20910
326	3141	20878
327	3148	20847
328	3154	20815
329	3160	20783
330	3166	20751
331	3173	20721
332	3179	20692
333	3186	20662
334	3193	20635
335	3199	20607
336	3205	20575
337	3212	20546
338	3218	20517
339	3224	20487
340	3231	20458
341	3237	20428
342	3243	20397
343	3250	20369
344	3256	20340
345	3262	20312
346	3269	20282
347	3275	20257
348	3288	20270
349	3301	20282
350	3328	20379
351	3346	20418
352	3360	20436
353	3371	20435
354	3383	20446
355	3390	20418
356	3398	20401
357	3406	20382
358	3413	20355
359	3419	20326
360	3425	20298
361	3431	20269
362	3438	20241
363	3444	20213
364	3451	20186
365	3457	20158
366	3465	20139
367	3471	20112
368	3478	20089
369	3485	20062
370	3491	20035
371	3498	20012
372	3505	19991
373	3512	19964
374	3518	19937
375	3524	19912
376	3531	19885
377	3537	19858
378	3544	19834
379	3550	19807
380	3556	19780
381	3562	19753
382	3569	19729
383	3580	19729
384	3591	19729
385	3602	19731
386	3611	19716
387	3617	19691
388	3624	19666
389	3633	19658
390	3641	19641
391	3648	19621
392	3655	19596
393	3662	19574
394	3668	19549
395	3674	19524
396	3681	19499
397	3687	19475
398	3693	19450
399	3700	19427
400	3706	19401
401	3712	19377
402	3719	19353
403	3725	19330
404	3732	19306
405	3738	19282
406	3744	19258
407	3751	19234
408	3757	19210
409	3763	19186
410	3770	19165
411	3777	19141
412	3783	19119
413	3789	19096
414	3797	19079
415	3803	19055
416	3810	19031
417	3816	19008
418	3822	18985
419	3828	18962
420	3835	18939
421	3841	18916
422	3848	18895
423	3870	18949
424	3884	18966
425	3897	18977
